,ts_code,symbol,name
490,002036.SZ,002036,联创电子
491,002037.SZ,002037,保利联合
492,002038.SZ,002038,双鹭药业
493,002039.SZ,002039,黔源电力
494,002040.SZ,002040,南京港
495,002041.SZ,002041,登海种业
496,002042.SZ,002042,华孚时尚
497,002043.SZ,002043,兔宝宝
498,002044.SZ,002044,美年健康
499,002045.SZ,002045,国光电器
500,002046.SZ,002046,国机精工
501,002047.SZ,002047,宝鹰股份
502,002048.SZ,002048,宁波华翔
503,002049.SZ,002049,紫光国微
504,002050.SZ,002050,三花智控
505,002051.SZ,002051,中工国际
506,002052.SZ,002052,*ST同洲
507,002053.SZ,002053,云南能投
508,002054.SZ,002054,德美化工
509,002055.SZ,002055,得润电子
510,002056.SZ,002056,横店东磁
511,002057.SZ,002057,中钢天源
512,002058.SZ,002058,威尔泰
513,002059.SZ,002059,云南旅游
514,002060.SZ,002060,粤水电
515,002061.SZ,002061,浙江交科
516,002062.SZ,002062,宏润建设
517,002063.SZ,002063,远光软件
518,002064.SZ,002064,华峰化学
519,002065.SZ,002065,东华软件
520,002066.SZ,002066,瑞泰科技
521,002067.SZ,002067,景兴纸业
522,002068.SZ,002068,黑猫股份
523,002069.SZ,002069,獐子岛
524,002071.SZ,002071,长城退
525,002072.SZ,002072,*ST凯瑞
526,002073.SZ,002073,软控股份
527,002074.SZ,002074,国轩高科
528,002075.SZ,002075,沙钢股份
529,002076.SZ,002076,*ST雪莱
530,002077.SZ,002077,*ST大港
531,002078.SZ,002078,太阳纸业
532,002079.SZ,002079,苏州固锝
533,002080.SZ,002080,中材科技
534,002081.SZ,002081,金螳螂
535,002082.SZ,002082,万邦德
536,002083.SZ,002083,孚日股份
537,002084.SZ,002084,海鸥住工
538,002085.SZ,002085,万丰奥威
539,002086.SZ,002086,*ST东洋
540,002087.SZ,002087,新野纺织
541,002088.SZ,002088,鲁阳节能
542,002089.SZ,002089,ST新海
543,002090.SZ,002090,金智科技
544,002091.SZ,002091,江苏国泰
545,002092.SZ,002092,中泰化学
546,002093.SZ,002093,国脉科技
547,002094.SZ,002094,青岛金王
548,002095.SZ,002095,生意宝
549,002096.SZ,002096,南岭民爆
550,002097.SZ,002097,山河智能
551,002098.SZ,002098,浔兴股份
552,002099.SZ,002099,海翔药业
553,002100.SZ,002100,天康生物
554,002101.SZ,002101,广东鸿图
555,002102.SZ,002102,ST冠福
556,002103.SZ,002103,广博股份
557,002104.SZ,002104,恒宝股份
558,002105.SZ,002105,信隆健康
559,002106.SZ,002106,莱宝高科
560,002107.SZ,002107,沃华医药
561,002108.SZ,002108,沧州明珠
562,002109.SZ,002109,兴化股份
563,002110.SZ,002110,三钢闽光
564,002111.SZ,002111,威海广泰
565,002112.SZ,002112,三变科技
566,002113.SZ,002113,*ST天润
567,002114.SZ,002114,罗平锌电
568,002115.SZ,002115,三维通信
569,002116.SZ,002116,中国海诚
570,002117.SZ,002117,东港股份
571,002118.SZ,002118,紫鑫药业
572,002119.SZ,002119,康强电子
573,002120.SZ,002120,韵达股份
574,002121.SZ,002121,*ST科陆
575,002122.SZ,002122,*ST天马
576,002123.SZ,002123,梦网科技
577,002124.SZ,002124,天邦股份
578,002125.SZ,002125,湘潭电化
579,002126.SZ,002126,银轮股份
580,002127.SZ,002127,南极电商
581,002128.SZ,002128,露天煤业
582,002129.SZ,002129,中环股份
583,002130.SZ,002130,沃尔核材
584,002131.SZ,002131,利欧股份
585,002132.SZ,002132,恒星科技
586,002133.SZ,002133,广宇集团
587,002134.SZ,002134,天津普林
588,002135.SZ,002135,东南网架
589,002136.SZ,002136,安纳达
590,002137.SZ,002137,实益达
591,002138.SZ,002138,顺络电子
592,002139.SZ,002139,拓邦股份
593,002140.SZ,002140,东华科技
594,002141.SZ,002141,贤丰控股
595,002142.SZ,002142,宁波银行
596,002144.SZ,002144,宏达高科
597,002145.SZ,002145,中核钛白
598,002146.SZ,002146,荣盛发展
599,002147.SZ,002147,*ST新光
600,002148.SZ,002148,北纬科技
601,002149.SZ,002149,西部材料
602,002150.SZ,002150,通润装备
603,002151.SZ,002151,北斗星通
604,002152.SZ,002152,广电运通
605,002153.SZ,002153,石基信息
606,002154.SZ,002154,报喜鸟
607,002155.SZ,002155,湖南黄金
608,002156.SZ,002156,通富微电
609,002157.SZ,002157,正邦科技
610,002158.SZ,002158,汉钟精机
611,002159.SZ,002159,三特索道
612,002160.SZ,002160,常铝股份
613,002161.SZ,002161,远望谷
614,002162.SZ,002162,悦心健康
615,002163.SZ,002163,海南发展
616,002164.SZ,002164,宁波东力
617,002165.SZ,002165,红宝丽
618,002166.SZ,002166,莱茵生物
619,002167.SZ,002167,东方锆业
620,002168.SZ,002168,ST惠程
621,002169.SZ,002169,智光电气
622,002170.SZ,002170,芭田股份
623,002171.SZ,002171,楚江新材
624,002172.SZ,002172,澳洋健康
625,002173.SZ,002173,创新医疗
626,002174.SZ,002174,游族网络
627,002175.SZ,002175,ST东网
628,002176.SZ,002176,*ST江特
629,002177.SZ,002177,御银股份
630,002178.SZ,002178,延华智能
631,002179.SZ,002179,中航光电
632,002180.SZ,002180,纳思达
633,002181.SZ,002181,粤传媒
634,002182.SZ,002182,云海金属
635,002183.SZ,002183,怡亚通
636,002184.SZ,002184,海得控制
637,002185.SZ,002185,华天科技
638,002186.SZ,002186,全聚德
639,002187.SZ,002187,广百股份
640,002188.SZ,002188,*ST巴士
641,002189.SZ,002189,中光学
642,002190.SZ,002190,成飞集成
643,002191.SZ,002191,劲嘉股份
644,002192.SZ,002192,融捷股份
645,002193.SZ,002193,如意集团
646,002194.SZ,002194,武汉凡谷
647,002195.SZ,002195,二三四五
648,002196.SZ,002196,方正电机
649,002197.SZ,002197,证通电子
650,002198.SZ,002198,嘉应制药
651,002199.SZ,002199,东晶电子
