url,website,path_len,num_sign,num_upper_char,num_lower_char,num_number,edit-dis,leven-ratio,jw-dis,edit-dis,leven-ratio,jw-dis,edit-dis,leven-ratio,jw-dis
blog.eastmoney.com/ldtc/blog_1017423611.html,stock.eastmoney.com,44,6,0,28,10,30,0.47619047619047616,0.6434609250398725,30,0.47619047619047616,0.6434609250398725,30,0.47619047619047616,0.6434609250398725
quote.eastmoney.com/center/gridlist.html?st=ChangePercent&sortType=G&sortRule=-1#sh_a_board,stock.eastmoney.com,89,12,5,70,1,76,0.2727272727272727,0.5893098129940236,76,0.2727272727272727,0.5893098129940236,76,0.2727272727272727,0.5893098129940236
quote.eastmoney.com/center/gridlist.html?st=ChangePercent&sortType=G&sortRule=-1#sz_a_board,stock.eastmoney.com,89,12,5,70,1,76,0.2727272727272727,0.5893098129940236,76,0.2727272727272727,0.5893098129940236,76,0.2727272727272727,0.5893098129940236
data.eastmoney.com/bkzj/gn.html,stock.eastmoney.com,31,5,0,26,0,18,0.6,0.613337106206376,18,0.6,0.613337106206376,18,0.6,0.613337106206376
data.eastmoney.com/bkzj/dy.html,stock.eastmoney.com,31,5,0,26,0,18,0.6,0.613337106206376,18,0.6,0.613337106206376,18,0.6,0.613337106206376
passport2.eastmoney.com/pub/login?backurl=http%3A%2F%2Fi.eastmoney.com%2F,stock.eastmoney.com,72,11,4,52,5,54,0.41304347826086957,0.6405770671642846,54,0.41304347826086957,0.6405770671642846,54,0.41304347826086957,0.6405770671642846
quote.eastmoney.com/center/boardlist.html#boards-BK05001,stock.eastmoney.com,55,7,2,42,5,41,0.4,0.6259398496240601,41,0.4,0.6259398496240601,41,0.4,0.6259398496240601
quote.eastmoney.com/center/boardlist.html#boards-BK07011,stock.eastmoney.com,55,7,2,42,5,41,0.4,0.6259398496240601,41,0.4,0.6259398496240601,41,0.4,0.6259398496240601
quote.eastmoney.com/center/boardlist.html?st=ChangePercent&sortRule=0#industry_board,stock.eastmoney.com,82,9,3,69,1,69,0.2912621359223301,0.5941938178780285,69,0.2912621359223301,0.5941938178780285,69,0.2912621359223301,0.5941938178780285
quote.eastmoney.com/center/boardlist.html?st=ChangePercent&sortRule=0#concept_board,stock.eastmoney.com,81,9,3,68,1,68,0.29411764705882354,0.5949587824984146,68,0.29411764705882354,0.5949587824984146,68,0.29411764705882354,0.5949587824984146
quote.eastmoney.com/center/boardlist.html?st=ChangePercent&sortRule=0#region_board,stock.eastmoney.com,80,9,3,67,1,67,0.297029702970297,0.595742404792469,67,0.297029702970297,0.595742404792469,67,0.297029702970297,0.595742404792469
data.eastmoney.com/xg/xg/default.html,stock.eastmoney.com,37,6,0,31,0,24,0.5357142857142857,0.5871819187608661,24,0.5357142857142857,0.5871819187608661,24,0.5357142857142857,0.5871819187608661
quote.eastmoney.com/center/gridlist.html#newshares,stock.eastmoney.com,49,6,0,44,0,35,0.43478260869565216,0.6373684210526317,35,0.43478260869565216,0.6373684210526317,35,0.43478260869565216,0.6373684210526317
data.eastmoney.com/xg/xg/calendar.html,stock.eastmoney.com,38,6,0,32,0,25,0.5263157894736842,0.583625730994152,25,0.5263157894736842,0.583625730994152,25,0.5263157894736842,0.583625730994152
data.eastmoney.com/xg/gh/default.html,stock.eastmoney.com,37,6,0,31,0,24,0.5357142857142857,0.5871819187608661,24,0.5357142857142857,0.5871819187608661,24,0.5357142857142857,0.5871819187608661
quote.eastmoney.com/center/gridlist.html#us_medicine_food,stock.eastmoney.com,56,8,0,49,0,42,0.39473684210526316,0.6242690058479532,42,0.39473684210526316,0.6242690058479532,42,0.39473684210526316,0.6242690058479532
quote.eastmoney.com/center/gridlist.html#us_automotive_energy,stock.eastmoney.com,60,8,0,53,0,46,0.375,0.618133448375036,46,0.375,0.618133448375036,46,0.375,0.618133448375036
video.eastmoney.com/,stock.eastmoney.com,20,3,0,17,0,6,0.7692307692307693,0.7353801169590644,6,0.7692307692307693,0.7353801169590644,6,0.7692307692307693,0.7353801169590644
global.eastmoney.com/,stock.eastmoney.com,21,3,0,18,0,6,0.75,0.7679197994987468,6,0.75,0.7679197994987468,6,0.75,0.7679197994987468
data.eastmoney.com/report/ylyc.html,stock.eastmoney.com,35,5,0,30,0,22,0.5555555555555556,0.6101660401002507,22,0.5555555555555556,0.6101660401002507,22,0.5555555555555556,0.6101660401002507
